company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
UPS,89,40.0,84628.0,14.2,1343.0,-69.8,62408,408255,"Mail, Package, and Freight Delivery",Transportation,U.S.,Atlanta,Georgia,no,,yes,yes,27,129.0,,Carol B. Tomé,https://www.ups.com,UPS,175523
People&#8217;s Insurance Co. of China,90,22.0,84290.4,5.6,2903.8,-9.4,192500.2,193494,Insurance: Property and Casualty (Stock),Financials,China,Beijing,,no,,no,yes,12,112.0,,Luo Xi,https://www.picc.com.cn,PINXY,34824
China Southern Power Grid,91,14.0,83699.0,2.1,998.6,-45.5,155171.8,288974,Utilities,Energy,China,Guangzhou,,no,,no,yes,17,105.0,,Meng Zhenping,https://www.csg.cn,,
China National Offshore Oil,92,-28.0,83296.3,-23.4,4802.4,-31,193366.2,80058,"Mining, Crude-Oil Production",Energy,China,Beijing,,no,,no,yes,15,64.0,,Wang DongJin,https://www.cnooc.com.cn,,
Crédit Agricole,93,-26.0,82958.8,-21,3067.4,-43.4,2399947.7,73817,Banks: Commercial and Savings,Financials,France,Montrouge,,no,,no,yes,27,67.0,,Philippe Brassac,https://www.credit-agricole.com,CRARY,41994
Johnson & Johnson,94,10.0,82584.0,0.6,14714.0,-2.7,174894,134500,Pharmaceuticals,Health Care,U.S.,New Brunswick,New Jersey,no,,no,yes,21,104.0,,Joaquin Duato,https://www.jnj.com,JNJ,434036
Hitachi,95,11.0,82344.6,2.1,4731.8,487.3,107168.7,350864,"Electronics, Electrical Equip.",Technology,Japan,Tokyo,,no,,no,yes,27,106.0,,Toshiaki Higashihara,https://www.hitachi.com,HTHIY,55324
Carrefour,96,2.0,82211.3,-4.3,730.4,-42.2,58238.2,322164,Food & Drug Stores,Food & Drug Stores,France,Massy,,no,,no,yes,27,98.0,,Alexandre Bompard,https://www.carrefour.com,CRRFY,15162
BNP Paribas,97,2.0,81632.4,-4,8052.5,-12,3045415.3,193319,Banks: Commercial and Savings,Financials,France,Paris,,no,,no,yes,27,99.0,,Jean-Laurent Bonnafé,https://group.bnpparibas,BNPQY,73478
Bosch,98,-3.0,81463.8,-6.4,360.1,-79.8,111817.4,395034,Motor Vehicles & Parts,Motor Vehicles & Parts,Germany,Gerlingen-Schillerhöhe,,no,,no,yes,27,95.0,,Stefan Hartung,https://www.bosch.com,,-
Tesco,99,4.0,81248.0,-1.8,7948.4,541,63983.9,242911,Food & Drug Stores,Food & Drug Stores,Britain,Welwyn Garden City,,no,,no,yes,27,103.0,,Ken Murphy,https://www.tescoplc.com,TSCDY,24672
AEON,100,15.0,81227.8,2.9,-670.5,-372.4,107764.9,282073,Food & Drug Stores,Food & Drug Stores,Japan,Chiba,,no,,no,no,27,115.0,,Akio Yoshida,https://www.aeon.info,AONNY,23334
China Energy Investment,101,7.0,80716.2,0.3,4102.1,-3.8,274035,326641,"Mining, Crude-Oil Production",Energy,China,Beijing,,no,,no,yes,12,108.0,,Wang Xiangxi,https://www.ceic.com,,
HSBC Holdings,102,-29.0,80429.0,-18.5,5229.0,-29.2,2984164,226059,Banks: Commercial and Savings,Financials,Britain,London,,no,,no,yes,27,73.0,,Noel P. Quinn,https://www.hsbc.com,HSBC,139009
Wells Fargo,103,-34.0,80303.0,-22.7,3301.0,-83.1,1955163,268531,Banks: Commercial and Savings,Financials,U.S.,San Francisco,California,no,,no,yes,24,69.0,,Charles W. Scharf,https://www.wellsfargo.com,WFC,184983
General Electric,104,-27.0,79619.0,-16.4,5704.0,,253452,184000,Industrial Machinery,Industrials,U.S.,Boston,Massachusetts,no,,no,yes,27,77.0,,H. Lawrence Culp Jr.,https://www.ge.com,GE,111489
